ngram,polarity
مهمة,1
مهو مرتب,-1
مؤثر,1
مؤثرة,1
موحلو,-1
مو زين,-1
موسوعة,1
موفق,1
ميزة,1
. ميستح,-1
ميستحق,-1
مينفعش متتقريش,1
ميه,1
ناار,-1
ناجح,1
ناشف,-1
ناشفه,-1
نايس,1
نبؤة,1
نجح,1
نجمة واحدة,-1
نجمة واحده,-1
نجمتان,-1
نجمتين,-1
نجمه,-1
نجوم للقبح,-1
نحب,1
نحبهم,1
ندم,-1
ندماان,-1
ندماان اني,-1
ندم الواقعي,1
ندمان,-1
ندمان عليها,-1
ندمت,-1
نسيان محتويات,-1
نصب,-1
نص ساعه,-1
نظافة,1
نظيف,1
نظيفة,1
نمطية جدا,-1
ننتظر,-1
نهاية صادمة,-1
نهايه رخمااه,-1
نيء,-1
هاايل,1
هادي,1
هادئ,1
هادئة,1
هايلة,1
هذا الفيلم,1
هذا فراق,-1
هذيان,-1
هذي والله,-1
هراء,-1
وااو,1
وابهرتنى قصة,1
واحداثها جذبتني,1
واحلى,1
واخر,-1
واسع,1
واسعاره,-1
واسعاره غاليه,-1
واسعارهم,-1
واسعة,1
واسعه,1
واعتيادية !,-1
واعجبتني,1
وأفضل,1
وافضل,1
وافي,1
واقعي,1
واقعية,1
والأسعار,1
والخياطة متدنيه,-1
والمبالغة,-1
والمبالغة الكثير,-1
وانصح,1
وانصح بعدم شرائها,-1
وانيقه,1
واو,1
واوو,1
وباظ,-1
وبتلزق,-1
وبطيئة,-1
وبه فائدة,1
وتأخر,-1
وتاخر,-1
وتأخير,-1
وتستحق,1
وتعبلي,-1
وتعبلي اعصابي,-1
وجع,-1
وجعلك تصدقها,-1
وجعلنا,-1
وجعلي,-1
وجلساته ضيقه,-1
وجميل,1
وحده,-1
و حزينة,-1
وحسن,1
وحش,-1
وحشة,-1
وحششة,-1
وحشه,-1
وحشه اوي,-1
وحلو,1
و خرى,-1
وخس,-1
وخفيف,1
ودود,1
ودودون,1
ودودين,1
و دوشة,-1
ودي,-1
ورائع,1
ورائعة,1
ورهيب,1
وزهقت,-1
وسخ,-1
وسريعه,1
وسعره غالي,-1
وسلبية جدا,-1
وسهل الاستخدام,1
وسهلة,1
وسئ,-1
وسيئه,-1
وشكرا,1
وصار مايعجبني,-1
وصحي,1
وصخ,-1
وضجة,-1
وطازج,1
وعادي,-1
وعجبني,1
وعجبني الفطور,1
وعدم قدرتها,-1
وعع,-1
وعععع,-1
وعفشة,-1
وعفشة شويا,-1
وعفى,-1
وغالي,-1
وغالين,-1
وغير مطابقة,-1
وفارغة .,-1
", وفارغة",-1
وفاشل,-1
وفخم,1
وفير,1
وفيره,1
وفيه,1
وقتك,-1
وقتك الكثير,-1
وقح,-1
وقريب,1
وكرهته,-1
وكم بشعة,-1
ولا اجمل,1
ولا احلى,1
ولا اروع,1
ولا أنصح,-1
ولا انصح,-1
ولا تستمر,-1
ولاتعمل .,-1
ولاتعمل,-1
ولا حاجه,-1
ولا طعم,-1
ولاهدف,-1
. ولاهدف,-1
ولاهدف من,-1
ولا يستحق,-1
ولا يوجد,-1
ولذيذ,1
ولذيذه,1
ولذييذ,1
ولكن يعيبه,-1
وللأسف,-1
وللاسف,-1
ولم يهتم,-1
وليس كما بالصور,-1
وماحبيته,-1
ومافيه,-1
ومبالغ,-1
ومتوافق,1
ومرتب,1
ومريح,1
ومريحة,1
ومريحه,1
و مش,1
ومشكلة التكرار,-1
ومش ملل,1
ومشوق ,1
ومكانهم هاادئ,1
ومكسور,-1
ومكسور ولاتعمل,-1
وممتاز,1
وممتازة,1
وممتع,1
وممتعة,1
وممتعه,1
و ممطوطة,-1
وممل,-1
ومملة,-1
ومناسب,1
ومؤثرة,1
وميستاهل,-1
وميستاهلش,-1
ونجح,1
و ندمان,-1
ونصب,-1
ونظافة,1
ونظيف,1
ونظيفة,1
ونهايتها كئيبة,-1
وهمى,1
وهي جيدة,1
و هيصة,-1
و وميستاهل,-1
و ياليتني,-1
ويتميز,1
ويستاهل,1
ويستحق,1
ويوجد,1
يا خسارة,-1
يارتنى ماكنت,-1
ياسلام,1
يتفرد,1
يتفوق,1
يتكلم نسكت,1
يتمتع,1
يتمتع بالجوده,1
يتميز,1
يجنن,1
يحب,1
يحبس الانفاس,1
يحبن,1
يحبوا,1
يحبون,1
يحبونه,1
يحتاج,-1
يحتاج الى,-1
يحدث,1
يحمل,-1
يختلف,1
يخخ,-1
يخرب,-1
يرقى,1
يستاهل,1
يستحق,1
يستحق التجربه,1
يستحق القراءة,1
يستحق القراءه,1
يستحق المشاهدة,1
يسخن,-1
يسلام,1
يشبع,1
يشبعك,1
يضر,-1
يع,-1
يعجبني,1
يعجبه,-1
يعشقهم,1
يعمل بشكل جيد,1
يعمل جيدا,1
يعني عاتي,-1
يعيب,-1
يعيبه,-1
يعيبهم,-1
يفتح,1
يفتقد,-1
يفتقد الجودة,-1
يفتقر,-1
يفضل,1
يفضل التاكد,-1
يفضلون,1
يفوق,1
يفوق الخيال,-1
يقرفهم,-1
يقص,1
يقطر,-1
يقفل,-1
يقنعني بموهبة,-1
يمتاز,1
يمدح,1
يمدحها,1
يمدحون,1
يمدحونه,1
يمممم,1
يمميممي,1
يميز,1
ينجح,1
ينقصه,-1
ينقى المياه,1
يهبل,1
يهبل مثل,1
يهتم,1
يهتم احد,1
